,vtec_mean,vtec_std,vtec_min,vtec_max,n_maps
2019-05-01 03:30:00+00:00,,,,,0
2019-05-01 04:00:00+00:00,4.8272,,4.8272,4.8272,1
2019-05-01 04:30:00+00:00,,,,,0
2019-05-01 05:00:00+00:00,4.652,,4.652,4.652,1
2019-05-01 05:30:00+00:00,,,,,0
2019-05-01 06:00:00+00:00,6.404800000000001,,6.404800000000001,6.404800000000001,1
2019-05-01 06:30:00+00:00,,,,,0
2019-05-01 07:00:00+00:00,8.999199999999998,,8.999199999999998,8.999199999999998,1
2019-05-01 07:30:00+00:00,,,,,0
2019-05-01 08:00:00+00:00,9.9089408,,9.9089408,9.9089408,1
2019-05-01 08:30:00+00:00,,,,,0
2019-05-01 09:00:00+00:00,9.0136,,9.0136,9.0136,1
2019-05-01 09:30:00+00:00,,,,,0
2019-05-01 10:00:00+00:00,9.596518399999999,,9.596518399999999,9.596518399999999,1
2019-05-01 10:30:00+00:00,,,,,0
2019-05-01 11:00:00+00:00,11.525599999999999,,11.525599999999999,11.525599999999999,1
2019-05-01 11:30:00+00:00,,,,,0
2019-05-01 12:00:00+00:00,14.011199999999999,,14.011199999999999,14.011199999999999,1
2019-05-01 12:30:00+00:00,,,,,0
2019-05-01 13:00:00+00:00,16.8848,,16.8848,16.8848,1
2019-05-01 13:30:00+00:00,,,,,0
2019-05-01 14:00:00+00:00,19.180940800000002,,19.180940800000002,19.180940800000002,1
2019-05-01 14:30:00+00:00,,,,,0
2019-05-01 15:00:00+00:00,21.5473408,,21.5473408,21.5473408,1
2019-05-01 15:30:00+00:00,,,,,0
2019-05-01 16:00:00+00:00,21.507199999999997,,21.507199999999997,21.507199999999997,1
2019-05-01 16:30:00+00:00,,,,,0
2019-05-01 17:00:00+00:00,20.337081599999998,,20.337081599999998,20.337081599999998,1
2019-05-01 17:30:00+00:00,,,,,0
2019-05-01 18:00:00+00:00,18.6508224,,18.6508224,18.6508224,1
2019-05-01 18:30:00+00:00,,,,,0
2019-05-01 19:00:00+00:00,17.082163199999997,,17.082163199999997,17.082163199999997,1
2019-05-01 19:30:00+00:00,,,,,0
2019-05-01 20:00:00+00:00,16.470163200000002,,16.470163200000002,16.470163200000002,1
2019-05-01 20:30:00+00:00,,,,,0
2019-05-01 21:00:00+00:00,12.271481600000001,,12.271481600000001,12.271481600000001,1
2019-05-01 21:30:00+00:00,,,,,0
2019-05-01 22:00:00+00:00,8.3688,,8.3688,8.3688,1
2019-05-01 22:30:00+00:00,,,,,0
2019-05-01 23:00:00+00:00,7.1664,,7.1664,7.1664,1
2019-05-01 23:30:00+00:00,,,,,0
2019-05-02 00:00:00+00:00,6.679859200000001,,6.679859200000001,6.679859200000001,1
2019-05-02 00:30:00+00:00,,,,,0
2019-05-02 01:00:00+00:00,5.9816,,5.9816,5.9816,1
2019-05-02 01:30:00+00:00,,,,,0
2019-05-02 02:00:00+00:00,6.0607999999999995,,6.0607999999999995,6.0607999999999995,1
2019-05-02 02:30:00+00:00,,,,,0
2019-05-02 03:00:00+00:00,5.6926592,,5.6926592,5.6926592,1
2019-05-02 03:30:00+00:00,,,,,0
2019-05-02 04:00:00+00:00,4.7008,,4.7008,4.7008,1
2019-05-02 04:30:00+00:00,,,,,0
2019-05-02 05:00:00+00:00,4.639340799999999,,4.639340799999999,4.639340799999999,1
2019-05-02 05:30:00+00:00,,,,,0
2019-05-02 06:00:00+00:00,6.0217408,,6.0217408,6.0217408,1
2019-05-02 06:30:00+00:00,,,,,0
2019-05-02 07:00:00+00:00,7.6080000000000005,,7.6080000000000005,7.6080000000000005,1
2019-05-02 07:30:00+00:00,,,,,0
2019-05-02 08:00:00+00:00,8.915340800000001,,8.915340800000001,8.915340800000001,1
2019-05-02 08:30:00+00:00,,,,,0
2019-05-02 09:00:00+00:00,9.5073408,,9.5073408,9.5073408,1
2019-05-02 09:30:00+00:00,,,,,0
2019-05-02 10:00:00+00:00,9.808659200000001,,9.808659200000001,9.808659200000001,1
2019-05-02 10:30:00+00:00,,,,,0
2019-05-02 11:00:00+00:00,11.587859199999999,,11.587859199999999,11.587859199999999,1
2019-05-02 11:30:00+00:00,,,,,0
