start,end,Bz_min,duration_h
2017-11-07 21:20:00+00:00,2017-11-07 21:25:00+00:00,-10.55,0.08333333333333333
2017-12-04 16:45:00+00:00,2017-12-04 17:30:00+00:00,-11.31,0.75
2017-12-04 17:40:00+00:00,2017-12-04 18:00:00+00:00,-11.47,0.3333333333333333
2017-12-04 18:35:00+00:00,2017-12-04 18:35:00+00:00,-10.27,0.0
2017-12-11 08:50:00+00:00,2017-12-11 08:50:00+00:00,-10.42,0.0
2017-12-17 05:45:00+00:00,2017-12-17 06:00:00+00:00,-11.52,0.25
2018-01-08 13:20:00+00:00,2018-01-08 13:20:00+00:00,-10.9,0.0
2018-01-08 14:00:00+00:00,2018-01-08 14:00:00+00:00,-11.29,0.0
2018-03-04 02:15:00+00:00,2018-03-04 02:25:00+00:00,-11.46,0.16666666666666666
2018-03-10 00:20:00+00:00,2018-03-10 00:50:00+00:00,-11.41,0.5
2018-03-10 01:05:00+00:00,2018-03-10 01:30:00+00:00,-11.19,0.4166666666666667
2018-03-10 02:00:00+00:00,2018-03-10 02:00:00+00:00,-10.06,0.0
2018-04-20 04:25:00+00:00,2018-04-20 04:25:00+00:00,-10.23,0.0
2018-04-20 04:45:00+00:00,2018-04-20 04:55:00+00:00,-11.23,0.16666666666666666
2018-04-20 06:55:00+00:00,2018-04-20 06:55:00+00:00,-10.09,0.0
2018-04-20 08:45:00+00:00,2018-04-20 08:45:00+00:00,-10.61,0.0
2018-04-20 11:10:00+00:00,2018-04-20 11:15:00+00:00,-10.28,0.08333333333333333
2018-04-20 16:35:00+00:00,2018-04-20 16:35:00+00:00,-10.59,0.0
2018-05-05 14:25:00+00:00,2018-05-05 14:25:00+00:00,-11.31,0.0
2018-05-05 15:35:00+00:00,2018-05-05 15:45:00+00:00,-10.96,0.16666666666666666
2018-05-05 16:50:00+00:00,2018-05-05 17:00:00+00:00,-11.33,0.16666666666666666
2018-05-05 21:10:00+00:00,2018-05-05 21:10:00+00:00,-11.22,0.0
2018-05-23 06:45:00+00:00,2018-05-23 06:45:00+00:00,-10.37,0.0
2018-05-31 18:00:00+00:00,2018-05-31 18:10:00+00:00,-10.85,0.16666666666666666
2018-06-18 00:25:00+00:00,2018-06-18 00:30:00+00:00,-11.53,0.08333333333333333
2018-06-18 00:45:00+00:00,2018-06-18 01:20:00+00:00,-10.23,0.5833333333333334
2018-06-18 02:10:00+00:00,2018-06-18 02:10:00+00:00,-10.64,0.0
2018-06-18 07:25:00+00:00,2018-06-18 07:25:00+00:00,-10.07,0.0
2018-06-18 07:40:00+00:00,2018-06-18 07:55:00+00:00,-10.38,0.25
2018-06-23 12:45:00+00:00,2018-06-23 12:50:00+00:00,-10.68,0.08333333333333333
2018-07-17 05:30:00+00:00,2018-07-17 05:35:00+00:00,-11.07,0.08333333333333333
2018-08-25 20:05:00+00:00,2018-08-25 20:20:00+00:00,-11.47,0.25
2018-08-25 20:40:00+00:00,2018-08-25 20:50:00+00:00,-10.93,0.16666666666666666
2018-08-25 21:10:00+00:00,2018-08-25 21:10:00+00:00,-10.12,0.0
2018-08-25 21:45:00+00:00,2018-08-25 21:45:00+00:00,-10.03,0.0
2018-08-25 22:00:00+00:00,2018-08-25 22:45:00+00:00,-11.43,0.75
2018-08-25 22:55:00+00:00,2018-08-25 23:05:00+00:00,-11.73,0.16666666666666666
2018-08-25 23:30:00+00:00,2018-08-25 23:35:00+00:00,-10.4,0.08333333333333333
2018-08-25 23:45:00+00:00,2018-08-25 23:50:00+00:00,-10.27,0.08333333333333333
2018-08-26 00:00:00+00:00,2018-08-26 00:50:00+00:00,-11.72,0.8333333333333334
2018-08-26 01:40:00+00:00,2018-08-26 02:20:00+00:00,-11.62,0.6666666666666666
2018-08-26 06:20:00+00:00,2018-08-26 06:40:00+00:00,-11.66,0.3333333333333333
2018-08-26 07:20:00+00:00,2018-08-26 07:35:00+00:00,-11.74,0.25
2018-08-26 07:45:00+00:00,2018-08-26 08:05:00+00:00,-11.67,0.3333333333333333
2018-08-26 08:15:00+00:00,2018-08-26 08:20:00+00:00,-11.11,0.08333333333333333
2018-08-26 15:10:00+00:00,2018-08-26 15:10:00+00:00,-11.31,0.0
2018-08-26 16:00:00+00:00,2018-08-26 16:00:00+00:00,-10.63,0.0
2018-09-10 20:40:00+00:00,2018-09-10 20:45:00+00:00,-10.88,0.08333333333333333
2018-09-10 22:15:00+00:00,2018-09-10 22:15:00+00:00,-10.21,0.0
2018-09-21 22:35:00+00:00,2018-09-21 22:35:00+00:00,-10.11,0.0
2018-10-07 15:05:00+00:00,2018-10-07 15:05:00+00:00,-10.91,0.0
